Region,Soil,Temp,NH4,NO3
coolest,O,a_pre-inc,2.662818436,21.28023463
coolest,O,a_pre-inc,2.681155478,16.93711052
coolest,O,a_pre-inc,3.744061812,17.86088655
coolest,O,b_5,-0.765057629,-0.205113355
coolest,O,b_5,-0.8622809,2.662503838
coolest,O,b_5,-2.651652067,-0.375497516
coolest,O,c_15,1.583028478,0.204340884
coolest,O,c_15,0.513432787,-0.096740687
coolest,O,c_15,1.458449157,-0.033416651
coolest,O,d_25,24.1640789,2.121606838
coolest,O,d_25,22.75975271,0.672039354
coolest,O,d_25,25.29423402,0.255629401
coolest,M,a_pre-inc,0.326349758,1.501159119
coolest,M,a_pre-inc,0.46876597,1.09480822
coolest,M,a_pre-inc,1.531590883,1.441788548
coolest,M,b_5,-0.112421911,0.367300979
coolest,M,b_5,0.014644149,0.044808172
coolest,M,b_5,0.833461577,0.082454923
coolest,M,c_15,0.261631818,0.090464879
coolest,M,c_15,0.593006037,0.509858089
coolest,M,c_15,0.781677236,0.107602555
coolest,M,d_25,1.623904783,0.487518645
coolest,M,d_25,1.194954009,0.228866425
coolest,M,d_25,2.431299358,0.221873916
intermediate,O,a_pre-inc,0.64023707,18.46
intermediate,O,a_pre-inc,0.38310115,18.36
intermediate,O,a_pre-inc,1.301489567,18.39
intermediate,O,b_5,-0.005361804,3.005290599
intermediate,O,b_5,4.313550405,3.038510256
intermediate,O,b_5,1.761761918,4.279478349
intermediate,O,c_15,-0.132449444,3.157680587
intermediate,O,c_15,0.81981688,-0.046845098
intermediate,O,c_15,15.10056092,0.062060075
intermediate,O,d_25,14.77634144,4.897025547
intermediate,O,d_25,49.96905275,0.765238204
intermediate,O,d_25,34.28096521,0.611823186
intermediate,M,a_pre-inc,0.067365418,1.26
intermediate,M,a_pre-inc,0.136787796,2.52
intermediate,M,a_pre-inc,0.112454796,1.24
intermediate,M,b_5,-0.843891663,0.382873838
intermediate,M,b_5,0.342871521,0.641435489
intermediate,M,b_5,-0.319769264,0.672784694
intermediate,M,c_15,-0.723390628,0.324426583
intermediate,M,c_15,0.410756206,0.025030775
intermediate,M,c_15,-0.129853234,0.2006538
intermediate,M,d_25,1.501490715,0.018241249
intermediate,M,d_25,0.554745043,-0.233452032
intermediate,M,d_25,0.914759152,0.110112898
warmest,O,a_pre-inc,3.549603865,18.87255769
warmest,O,a_pre-inc,2.399807875,19.05681923
warmest,O,a_pre-inc,3.063387695,18.55384657
warmest,O,b_5,3.602581301,6.346846402
warmest,O,b_5,2.375140407,7.133803125
warmest,O,b_5,1.839048664,4.826285121
warmest,O,c_15,13.23689399,-0.020916971
warmest,O,c_15,12.25279232,0.130541243
warmest,O,c_15,12.52210429,-0.117250841
warmest,O,d_25,40.48146497,-0.028106305
warmest,O,d_25,32.59341858,-0.09848071
warmest,O,d_25,35.91244219,0.069190406
warmest,M,a_pre-inc,2.256658399,1.45150536
warmest,M,a_pre-inc,1.160439002,1.928514277
warmest,M,a_pre-inc,0.693567769,1.291370173
warmest,M,b_5,2.537887112,0.598615975
warmest,M,b_5,1.440483865,1.577163186
warmest,M,b_5,0.531739436,0.558372742
warmest,M,c_15,3.050041412,0.005555013
warmest,M,c_15,1.988874303,1.043573178
warmest,M,c_15,1.011537497,0.226692736
warmest,M,d_25,5.834634956,0.851381669
warmest,M,d_25,2.841979864,0.044062084
warmest,M,d_25,1.997410691,0.003524091