Region,temp,site,soil,Rate,Combo,D15N,nosZ,nirS,nirnos,Combop
ER,t5,1,o,0.649918106,-1.293271234,2.186825382,14981876.74,703557.7333,0.046960587,-69.51156279
ER,t5,2,o,0.309164381,-0.486775939,0.979161832,8594781.799,619042.3449,0.072025371,-31.82265594
ER,t5,3,o,1.207749509,-1.240696976,4.569104251,12808664.37,896531.2832,0.069994127,-96.41896195
ER,t15,1,o,1.598134827,-4.062272992,5.490834346,10092754.56,670943.2887,0.066477718,-95.15363839
ER,t15,2,o,1.225927457,-1.897240879,4.620643255,6615334.53,738754.8065,0.111673084,-134.5956323
ER,t15,3,o,1.269547755,-2.364009141,2.891809265,6001953.447,567744.5161,0.094593289,-106.4635152
ER,t25,1,o,5.380549867,-9.992628476,16.80275424,10209759.97,692652.1363,0.067842157,-89.05462903
ER,t25,2,o,4.384359161,-6.301718033,16.6864553,8254925.621,559900.0283,0.067826175,-85.61604708
ER,t25,3,o,4.949727703,-7.798950301,12.09425616,4126420.655,783974.4878,0.189988989,-70.20138755
SR,t5,1,o,1.393800565,-1.251764641,7.14701079,4645999.343,468965.9963,0.100939747,-83.99510054
SR,t5,2,o,1.022123683,-1.303434378,-2.436957498,11243802.88,1041586.391,0.092636486,52.83694304
SR,t5,3,o,2.962807079,-1.852565235,15.52251708,6681043.852,969176.5138,0.145063636,-42.46158791
SR,t15,1,o,4.586172059,-4.062245924,27.51611655,5238766.162,819677.6323,0.156463871,-92.43079556
SR,t15,2,o,0.346768185,-0.557434443,-1.098501094,8920711.322,525370.0574,0.058893292,-101.641118
SR,t15,3,o,7.14576314,-7.660319865,41.2844893,5201990.532,525256.7449,0.100972261,-180.7764996
SR,t25,1,o,7.571637411,-7.291359542,46.46567265,4267455.219,1045639.784,0.245026539,-98.21603471
SR,t25,2,o,0.875274659,-0.863239304,,10633097.11,1000959.817,0.094136243,-94.82549917
SR,t25,3,o,13.05411892,-9.727374399,76.71091519,6249097.97,725470.5804,0.116092048,-80.67296255
GC,t5,1,o,4.673791564,-3.477525558,36.88030461,20406323.02,1069048.246,0.052388088,-79.70643305
GC,t5,2,o,5.155290525,-4.051585335,41.19674013,8632041.142,389084.3205,0.045074428,-73.73789127
GC,t5,3,o,2.298061092,-1.453686704,21.22370282,21197199.6,1316357.261,0.062100527,-74.14326528
GC,t15,1,o,8.850980781,-8.319000952,67.50859305,15162414.5,743986.2603,0.049067796,-70.37244036
GC,t15,2,o,13.04652908,-7.703113107,101.1337697,14051159.41,559818.2504,0.039841428,-122.7312907
GC,t15,3,o,6.690397556,-6.292959397,48.51920112,18347886.32,485741.8501,0.026473995,-216.895095
GC,t25,1,o,7.1017017,-6.342579297,10.74110079,16358337.41,663237.8818,0.040544333,-102.2333602
GC,t25,2,o,15.2228991,-13.80080797,104.6933521,11991484.72,447824.3424,0.037345196,-50.43309005
GC,t25,3,o,10.19738073,-9.706580767,68.51120517,13917321.96,611548.5639,0.04394154,-119.6119457
ER,t5,1,m,0.477978892,,7.820359687,601074.7752,147540.9523,0.245461893,
ER,t5,2,m,0.062716948,,0.636032441,1031484.724,143686.5368,0.139300693,
ER,t5,3,m,0.959999464,,14.57236668,671949.6674,130078.7281,0.193584035,
ER,t15,1,m,0.52162557,,8.082154486,453984.6418,137912.9519,0.303783298,
ER,t15,2,m,0.069763998,,0.341141767,1026224.875,149062.3833,0.145253138,
ER,t15,3,m,0.558811392,,8.487684803,797865.3686,108387.2308,0.135846516,
ER,t25,1,m,0.433760476,,4.480815855,566883.7442,136255.8444,0.240359414,
ER,t25,2,m,0.448486748,,-2.263990469,873330.1487,160310.9422,0.183562817,
ER,t25,3,m,0.452408605,,4.29052004,772712.9409,144720.4157,0.187288718,
SR,t5,1,m,0.092785682,,1.159166065,973934.6297,53441.6686,0.054871926,
SR,t5,2,m,0.755900561,,53.74438012,1296477.107,720038.8613,0.555381084,
SR,t5,3,m,0.133758952,,4.601543372,1749404.228,192813.8954,0.110216891,
SR,t15,1,m,0.168174556,,10.40459076,1517440.661,270674.5366,0.178375698,
SR,t15,2,m,0.680720916,,47.9079279,577953.0239,165104.1276,0.285670497,
SR,t15,3,m,0.733910061,,47.88068394,661855.8917,141954.8469,0.214479993,
SR,t25,1,m,0.122875915,,-1.148840212,797651.0144,133451.0898,0.167305109,
SR,t25,2,m,0.628593947,,35.98887688,708595.6866,270214.2199,0.381337658,
SR,t25,3,m,0.061450829,,-2.366282755,499071.6949,83453.54965,0.167217557,
GC,t5,1,m,0.33697276,,32.83868668,1187972.695,141653.4508,0.119239652,
GC,t5,2,m,0.332056112,,5.072258972,1030119.248,201686.0834,0.195789064,
GC,t5,3,m,0.012421463,,0.036818542,2216552.762,343820.8041,0.1551151,
GC,t15,1,m,0.138681915,,-0.537590045,1826342.82,219259.2549,0.120053723,
GC,t15,2,m,2.052803104,,72.48415299,1083526.166,140761.7173,0.129910769,
GC,t15,3,m,1.038395598,,52.36872516,1085214.367,173751.7003,0.160108183,
GC,t25,1,m,0.386203823,,-28.23630544,753191.0386,136607.1469,0.181371179,
GC,t25,2,m,4.06091201,,147.571984,411297.3897,103041.1147,0.250527033,
GC,t25,3,m,0.58621194,,-1.474472947,1358611.543,174465.7993,0.128414778,
ER,t5,1,c,0.48126138,,2.977120417,,,,
ER,t5,2,c,0.128493359,,0.738155329,,,,
ER,t5,3,c,1.547400486,,12.81467215,,,,
ER,t15,1,c,0.088623901,,0.11219514,,,,
ER,t15,2,c,0.347071015,,0.442746879,,,,
ER,t15,3,c,0.646354577,,0.950981875,,,,
ER,t25,1,c,0.817996105,,4.967210817,,,,
ER,t25,2,c,1.681986892,,9.116952491,,,,
ER,t25,3,c,1.502661157,,8.829987491,,,,
SR,t5,1,c,0.234821607,,3.323824916,,,,
SR,t5,2,c,0.474589867,,-1.489297088,,,,
SR,t5,3,c,1.244000796,,20.44274286,,,,
SR,t15,1,c,0.692100691,,7.429956253,,,,
SR,t15,2,c,0.470054658,,-3.241449954,,,,
SR,t15,3,c,0.219353336,,-1.000863394,,,,
SR,t25,1,c,0.403153784,,0.908937913,,,,
SR,t25,2,c,0.640629302,,-3.862717754,,,,
SR,t25,3,c,3.388195348,,58.68473074,,,,
GC,t5,1,c,1.533238767,,40.3352998,,,,
GC,t5,2,c,1.435761302,,24.71754932,,,,
GC,t5,3,c,0.85679585,,13.54735427,,,,
GC,t15,1,c,0.670661745,,-3.25426252,,,,
GC,t15,2,c,7.396219079,,141.8410063,,,,
GC,t15,3,c,1.435833757,,20.73475503,,,,
GC,t25,1,c,1.145326225,,-13.26796531,,,,
GC,t25,2,c,5.483003139,,84.08808732,,,,
GC,t25,3,c,1.077011899,,-12.33266579,,,,