Time,Region,O5,O5se,O15,O15se,O25,O25se,C5,C5se,C15,C15se,C25,C25se,M5,M5se,M15,M15se,M25,M25se
0,coolest,0.006082968,0.001347945,0.006256458,0.000740599,0.004772462,0.000632432,0.002072316,0.000327056,0.002512582,3.28548E-05,0.002707153,0.00042732,0.00262567,0.000535673,0.002053101,0.000235949,0.001878327,0.000140687
2.274485597,coolest,0.009001357,0.001058036,0.023349271,0.007432861,0.047497064,0.016435296,0.004777516,0.001199441,0.014630568,0.004561984,0.012384397,0.002037782,0.003801928,0.000997581,0.006365182,0.000580216,0.014881942,0.007266951
9.766460905,coolest,0.022153261,0.006375616,0.068028072,0.013771456,0.193149311,0.045395893,0.012627867,0.004083859,0.043053577,0.017902581,0.061850234,0.019228266,0.006273033,0.000695326,0.024852976,0.005997633,0.074017597,0.014387898
19.39074074,coolest,0.04835307,0.019057267,0.124807417,0.032796788,0.34221164,0.047069476,0.035480675,0.01539648,0.065302119,0.02316515,0.14894628,0.042490026,0.01673571,0.004307311,0.072477118,0.031814271,0.095132371,0.039612672
29.44259259,coolest,0.071878733,0.032503242,0.125485532,0.047973455,0.416173384,0.11189429,0.055292815,0.029191813,0.095057116,0.043315139,0.162678944,0.038806553,0.025781692,0.007099755,0.09830659,0.046451425,0.085922509,0.040855383
39.40432099,coolest,0.096461302,0.036171888,0.192574057,0.031086406,0.578081126,0.084202276,0.079217736,0.039538135,0.036085726,0.010181012,0.177795287,0.043934407,0.042725751,0.014594606,0.093105273,0.044020853,0.057644038,0.0271614
49.62119342,coolest,0.10753478,0.057756604,0.162940493,0.018323703,0.637379345,0.020079024,0.090667307,0.047742083,0.056344157,0.028400262,0.167743182,0.032518305,0.037711676,0.026808547,0.051829123,0.02720252,0.039431638,0.018150573
59.4973251,coolest,0.096733439,0.035790123,0.17218828,0.021726203,0.590504385,0.040284505,0.094773547,0.057987304,0.027151771,0.010151094,0.163637113,0.032182735,0.070740208,0.035229281,0.051157115,0.022172665,0.028174946,0.013178411
0,intermediate,0.008772468,0.000320584,0.009117164,0.000356757,0.010562895,0.00073763,0.005504964,9.57725E-05,0.005811303,5.0262E-05,0.005245854,0.000418427,0.003334679,0.00020808,0.00346927,0.000577784,0.003166972,0.000555173
2.274485597,intermediate,0.036801562,0.011337978,0.036201361,0.00889467,0.054850128,0.014620167,0.015644801,0.005127411,0.018928676,0.003851728,0.023623619,0.00395761,0.006190542,0.000325229,0.00635969,0.00039511,0.007534117,0.000522686
9.766460905,intermediate,0.065827071,0.012286946,0.124022609,0.059341503,0.218736386,0.11606148,0.031941429,0.010271684,0.052807157,0.01603117,0.124992962,0.056459015,0.012277258,0.002590788,0.024202264,0.013969439,0.065691267,0.013225943
19.39074074,intermediate,0.103609178,0.042116607,0.256943507,0.141279773,0.46811,0.2868806,0.042064153,0.014107593,0.075596853,0.038399827,0.140079438,0.090735725,0.018626811,0.00816479,0.062612442,0.025082684,0.103309982,0.045728917
29.44259259,intermediate,0.112780761,0.05234332,0.332337711,0.188328984,0.576632132,0.34538381,0.054196128,0.019341656,0.076326326,0.043568188,0.161073027,0.13630255,0.026305588,0.016041269,0.072789764,0.028234613,0.075026142,0.040503487
39.40432099,intermediate,0.128030918,0.069247299,0.402105632,0.22192408,0.704767121,0.425984726,0.055916342,0.02976471,0.059940926,0.043524147,0.149526991,0.133330982,0.031068731,0.020569672,0.07242339,0.026138819,0.04835965,0.037085394
49.62119342,intermediate,0.14612061,0.08190695,0.418869691,0.222207202,0.76112648,0.456197857,0.062831865,0.040866742,0.04072405,0.032841358,0.156862749,0.141056504,0.037225987,0.025575371,0.073073925,0.026758873,0.034534945,0.030506677
59.4973251,intermediate,0.1760006,0.0989679,0.495408905,0.258820835,0.880969186,0.474503777,0.066186206,0.044549517,0.029891959,0.02314993,0.148765792,0.134240415,0.040579108,0.029798649,0.068441326,0.022743355,0.025277775,0.022412358
0,warmest,-0.00013503,0.000800314,-0.00044326,0.000229361,0.001009229,0.000442325,-0.000474125,0.000190894,-0.000331133,0.000183168,2.16381E-05,0.000180969,-0.000343012,0.000174053,-0.000223537,7.89449E-05,-9.10848E-05,9.89647E-05
2.274485597,warmest,0.029081015,0.008457237,0.097508671,0.009553707,0.1932296,0.037111038,0.011302512,0.002254983,0.038058483,0.009950417,0.074796209,0.008236983,0.004012359,0.002521332,0.013085227,0.003866516,0.030211228,0.003219667
9.766460905,warmest,0.157509894,0.046628681,0.480527226,0.056745624,0.901457848,0.111763136,0.055518001,0.012633689,0.200838421,0.038932466,0.345912907,0.096294776,0.014889499,0.00737651,0.080397906,0.016316966,0.156823793,0.054404875
19.39074074,warmest,0.283587605,0.07437508,0.788261027,0.093810016,1.414047902,0.142935582,0.103007068,0.019599992,0.330656514,0.077880964,0.405514566,0.225184842,0.020879405,0.010719245,0.116012221,0.026393013,0.225716577,0.121815153
29.44259259,warmest,0.357773136,0.084549047,1.028504214,0.125223973,1.664866171,0.141929972,0.13183684,0.023118412,0.413751893,0.147614395,0.398991401,0.306899785,0.024504504,0.012794856,0.129575654,0.037980977,0.237287168,0.158943544
39.40432099,warmest,0.43456052,0.094376583,1.186260392,0.163481803,1.782527544,0.143062276,0.149380716,0.024222461,0.409565468,0.211086562,0.348298222,0.304441211,0.023726753,0.012385748,0.134770221,0.057300717,0.218945861,0.17413681
49.62119342,warmest,0.479704585,0.096142457,1.236036836,0.199862431,1.696743762,0.143652811,0.157889224,0.023789939,0.380722313,0.241732407,0.279982952,0.254171889,0.022828082,0.011820072,0.126900262,0.064058527,0.193433623,0.171614491
59.4973251,warmest,0.506186039,0.104098937,1.136783175,0.235409533,1.075670692,0.374284363,0.153064428,0.02549323,0.365038779,0.277462842,0.209556985,0.189507564,0.021365762,0.011354238,0.124296185,0.070791924,0.172296591,0.160901581
